Number of Elements,Standard Merge Sort Time (in ns),Parallel Merge Sort Time (in ns),Partially Parallel Merge Sort Time (in ns),Java Parallel Merge Sort Time (in ns)
479613,44571800,62012900,20938800,2461600
700008,67939600,21514900,24626300,3584200
689114,67446200,20725900,52872600,3407900
203747,18308600,8338200,15193600,1079600
631643,60337000,18387700,45275000,3101400
655196,63988700,20074100,25896000,3148900
469405,42781200,14586100,44788400,2121200
451199,40928000,42887100,20851200,2047100
722643,69356800,21604900,25310600,3599700
914120,86140300,26426200,39995500,4600200
580749,54755300,18283600,22985200,2950700
637998,61486500,20638000,23653600,3096500
804296,78480500,23103300,49841100,3822700
259813,23274800,9798400,16761800,1428800
390267,34914000,12948000,18711400,1936200
533292,50048500,43600000,23185300,2583500
526939,48692100,15957700,21696400,2544800
286757,25979000,9978900,16032200,1476900
419903,37780500,15715100,27301200,2152800
100617,8855300,7168400,16065300,533900
96165,8303800,6880700,15794900,563600
204396,18435200,8396200,15644200,1070400
410625,37646800,17346500,19327400,2007700
765032,105421000,22246700,26239800,3678000
862928,83777700,70534300,28972500,4101300
877023,85473500,25165400,28334100,4165200
875876,85188800,25065900,32687300,4679500
786852,74752800,24279400,27601500,4339300
295506,26414600,39082500,17798100,1486400
677716,65728900,53794900,55181100,3334400
127247,10918200,9545700,15123800,785800
101902,8917000,7009000,15701100,556500
504840,46618000,17228400,20920800,2498300
599145,57232100,17397500,22724900,3052500
78104,6736500,8702700,14515600,516500
78034,6670500,29705600,23626100,552700
239723,21057200,10988500,44540600,1311000
905008,85414300,56587800,27416100,4280400
752847,72396500,22616600,28892800,3805500
249912,22465900,10980100,19399400,1484600
637425,61553800,19691500,24867100,3057100
570696,54471200,46064600,24715900,2928100
512165,47932900,19189700,45516500,2540800
791366,76305300,23526900,27844700,3806200
895874,85531200,26494900,60436000,4250100
673351,64638500,27191300,30902200,3399300
266680,24144900,19298400,26455900,1401400
165250,14708800,8116500,14966700,879400
82965,6865300,10038200,14377800,445700
25747,2138900,6579400,14612700,231600
334268,30369300,12597000,17862500,1726200
328468,29086600,11244600,17758100,1635100
982759,94080700,58312600,30240700,4673800
803984,77554300,33770000,31552800,3918700
61959,5394600,7891500,16194800,440800
581450,55480700,43655700,51723900,2714400
767576,74287600,49367800,25692100,3735400
767475,74326800,22066800,27918700,22326500
348472,32371100,12312200,18292200,1800600
484086,44514800,40863700,20370300,2395800
220642,19683200,9048100,15215900,1363200
650422,62266000,48530500,23729600,3255200
319109,28563300,10866500,17894700,1661900
877554,84408000,25158400,27921200,4721700
482166,44376200,15045900,25870900,2476100
996644,125006800,27233000,30295100,4991700
241313,21253300,10047200,16816900,1269500
9476,678300,7281700,13660100,178300
515253,48069900,15660600,21036200,2471500
155348,13809200,18623300,24157200,808000
936646,89410500,28634800,83423900,4236600
495196,46854800,14412200,20953100,2558300
347655,31597700,11709300,18853600,1874300
61490,5082800,6388000,14147800,464100
805924,79332700,23562600,27615400,3791800
71226,6411400,8256200,14473500,388700
139036,12094700,8472400,14427700,728000
30520,2568100,6113200,14311800,256300
989990,125205300,27694700,31981100,4747200
88364,7478700,10754900,15039200,606300
108349,9303100,8053900,14381000,567400
728381,70879100,20903900,32932500,3594300
199517,17841900,13603300,15339900,1096000
587957,55590600,17606600,52001600,3183900
125198,10932400,8160400,14581300,633700
949860,90330300,28176800,34800300,4637200
56395,4839300,7902500,13749000,335300
32266,2521000,6297200,13524700,286400
951074,90529600,28141900,58033100,4523400
819573,107696100,24731300,28388300,3861300
304398,27147300,35359200,46158300,1566300
269622,24623800,9764300,16767100,26709000
764667,73274200,25506400,87904200,3510700
567816,54284100,18743900,57200400,2857700
942056,89931400,25852900,29398100,4908400
787677,74998100,25191900,32015300,3933700
579549,55451500,22182400,28307400,3108500
466781,43574500,21503000,25972200,2603600
59047,4856500,11617500,14942400,406000
24989,1910500,8181800,15608800,241300
507725,47995600,21377300,48861300,2605900
849609,83440200,23517400,28056300,4125200
865909,84658200,52496000,58491700,3964700
143312,12573300,8994000,15614400,699800
896171,84941000,25783400,28882800,4275800
399627,36004100,14883300,45739500,2072900
90110,7738100,7365000,15239700,462600
485230,44771500,39015000,48746100,2354900
106345,8824500,8526500,14656900,557100
45245,3813800,7784200,13481900,304200
895609,85284000,24952900,28182900,4293100
97040,8524400,35773300,13800000,517400
770855,74090400,21810200,25681200,3726300
635174,61077400,50513000,24036300,3118600
504854,47282200,17694100,20678600,2507800
264271,24210300,10760500,24728200,1390700
941101,90220700,25386100,28801100,4762000
87404,7566700,6939700,13993300,462600
551107,51869200,47627800,24711800,2779700
720587,69815100,22169500,24410600,3823600
440708,40702500,14088500,19438400,2050400
192039,17074400,9194500,15147700,951100
619802,59083400,18485100,22777800,2923900
356807,31946300,40051600,18161100,1782900
818929,79784200,26051100,30674800,3977100
249424,22889500,10886800,17165600,1345300
226218,19877700,8853000,16258500,1223000
174130,15536800,8167300,14677500,919700
267727,24576500,10094400,17008400,1423800
453912,41833400,15357400,51379900,2085100
844704,81803100,24446400,28223800,4061100
70721,6273100,6723900,14284100,422100
717576,69897200,43267000,24884400,3481300
114581,10121400,8453200,14076400,614600
610769,58162400,18227700,75845100,3354100
31479,2450700,13334400,13656500,297400
636399,61123200,17874200,22783800,3137500
191127,17084200,12801500,16917300,1089500
603367,57246600,17703700,22471300,3018900
950534,91665300,28203700,95577000,4859000
579837,54753500,18358400,24772100,2767100
639577,62961000,49924200,26234600,3128300
697767,68267000,42859000,25689400,3674800
642767,62012500,18990400,53841000,27879800
692263,66400200,46016700,25149100,3608700
657299,63188900,19803600,23934100,3248500
570651,54253100,18522600,49342900,2889400
234758,20431500,9238300,15922900,1242500
924440,116188100,48538200,30297800,4533600
4588,312900,7399400,36664100,155900
904480,85166300,24597500,28303200,4434700
299697,27192900,11113000,17525000,1539200
27472,2080700,8000900,13784700,242700
132429,11543900,7211900,16032200,655900
736142,71557100,52445700,24755100,3484900
507535,46801500,19181300,44961800,2497700
370777,32968800,12345100,20440200,1820700
55185,4915100,7372500,15442100,423100
199487,17815900,8351600,15528600,941000
821205,78676200,23048100,54325700,3956900
289505,26176400,14113300,16984300,1491000
269720,24689500,10151000,16190300,1353800
72894,6386400,7996200,14042600,401000
570899,54257200,17774900,22578500,2701600
90617,7633700,7379300,14184600,505500
464827,42239300,17461300,22621300,2508400
157326,14132900,9078800,17120100,873700
214710,21244900,9263900,16567200,1078500
542505,79103600,44151100,50847400,2666300
906266,85586500,25655900,52094100,4683400
324244,29507800,38709000,17956200,1559600
255526,23402300,22462600,17554600,1426000
30253,2384300,6271000,13787800,254000
717584,69445000,50072500,25948200,3420600
932130,89266700,26296400,29930300,4489300
481104,44395900,16996600,20604600,2377100
627345,59090600,18491900,23068000,3093100
900104,112637800,25039600,28158600,4432800
134496,11744000,10430600,15379100,654400
664254,63003300,25566200,32127900,3069000
150436,13334500,9237200,15741100,875900
42409,3459500,7896200,13825100,296800
641945,61249700,44707200,22503700,3002200
119073,40122300,7307000,15502200,639900
276444,25497700,17184000,35677600,1362700
959789,91915200,26315100,30498500,4697800
445215,40563700,14738600,19832200,2292700
124593,10961800,7952000,17161800,698100
934726,88971600,55250400,33788000,4851500
579343,54494300,18268000,24130400,2873600
686428,65997200,19980000,24626600,3316000
518507,47994600,15645800,48049400,2504000
865959,113684300,23317700,27097800,4225900
709283,68234800,21531200,25359000,3758900
713271,68247800,20524000,25144900,3550000
698873,66955100,50209400,29315200,3407900
563508,53736700,18416400,21372100,2791200
85439,7619700,8213300,15583300,525800
727519,69905700,22126900,27310800,3654100
454576,41355800,40353600,20231200,2375700
384683,34274800,42819600,19512800,1879500
74391,6528800,7641700,13710000,401100
589175,56199800,18424600,23775200,2875100
522035,48838100,15761300,22239300,2614300
144717,12644700,27182800,23650600,831400
51175,4364900,8426900,13871000,310000
753694,72804700,33669500,57625500,3583800
938740,89786000,26545300,32537700,4743000
505400,47055200,16133600,22695000,2721300
709065,69698100,21899900,26271000,3489200
511962,47699000,44631600,21125300,2508300
154587,13637900,8490400,15015100,738900
136996,12551500,8253300,15872900,652200
918118,86531200,25987200,54008500,4386200
790816,75990400,24208500,26641600,3846300
220287,47825100,9204000,17953400,1238300
593338,55846200,42030500,22192000,2815800
37897,3161000,9825900,41498200,276500
713602,68564200,21863000,25369300,3542600
133649,11967400,7575800,14568700,671200
968396,93816700,27385000,60591800,4373300
65551,5799700,7308900,14376800,358900
533365,50349200,17644000,21106600,2541300
245656,22103000,18898300,24416500,1339200
495861,46431900,15025700,20889500,2580300
831547,80279200,23562900,49260900,3959700
715646,69599600,29638000,32212600,3468400
454998,42496400,13826500,20464400,2310300
614670,58966100,19540200,23058500,3277600
467686,42871800,15777200,21853000,2258600
887993,113588100,24803400,33041900,4450100
412426,37501000,12875900,18876400,1983300
544138,51701700,15843900,47619900,2597300
340243,31013400,11683400,18775000,1651500
817030,79730800,51850600,27044800,3792900
458895,42078700,14731200,21149200,2250500
20783,1673400,6704300,13659200,227900
856161,83938500,24323900,28962300,4146000
668241,64825100,19016800,55545700,3288700
385890,34509900,13260800,18334900,1807700
1330,81700,5925200,13808100,39600
914585,87066900,50689700,28540700,4358600
263227,24115900,15561500,16266200,1287800
702656,68566300,20631200,24663100,3427000
98861,35480300,7705100,13988900,536800
608743,57750200,41997600,24756100,2902500
5866,406300,7776900,12806700,105800
646638,62290600,19785400,25340200,3134100
546943,51997900,16721100,22107600,2721900
252006,22748800,10647400,42570500,1379100
386474,34718000,42783300,45787100,1808100
43858,3605200,30949900,15037200,336700
505600,47277400,15179500,48788800,27616800
612052,58816900,20343300,23266000,2850300
187006,16682100,9959900,16449600,1076500
171583,15161400,8376700,15518400,1010800
475679,43577700,15043900,67309800,2371600
136613,11986500,9132500,14352200,25060200
617159,85425200,18018000,23013400,2997600
973070,93858900,27177000,33720700,4539800
817179,80317800,23124500,29293100,3916800
590323,84853300,17606400,32631300,3669000
869648,84617500,25684100,29267500,4245600
256167,23495100,36731400,43005400,1353500
438490,39415400,13641400,19421900,2087300
992786,97455000,69746600,30667000,4735400
853108,83582200,25611500,27535400,4315700
344927,32087200,12050600,27393100,1730500
186921,16787500,19182600,53649100,1899900
865794,90470100,62620400,33712900,4807100
651756,62584400,22239300,59996700,31181200
8636,622800,7486200,13718700,165400
279953,25700100,10895000,39280500,1526500
533822,50538700,17029300,25846100,2421200
238201,21064500,10402200,16306200,1269700
208915,18684200,12418500,49742100,1107500
140050,12798900,8290400,14942700,863200
232945,20460100,11929700,16422400,1209600
645674,62341600,19591100,23848000,3400600
586322,55828000,18479100,25219800,2704700
509375,47544000,40176200,20720800,2445600
123336,10723900,9228300,14666100,681900
381771,61794200,40835700,20790200,1881200
125146,11162600,10907000,44905700,824400
774197,74330300,22581200,27347900,3601700
98082,8787500,8669000,16208200,546100
368426,33113900,12531100,18148300,1835800
20932,1579000,6709800,13297800,198200
463737,42324500,15612600,19716100,2329300
260260,23629400,37801400,16383500,1345300
882503,84856000,26539900,27976100,4290100
117253,10269700,8751300,41407300,643400
266286,24301000,22458700,31677700,1382900
872042,85101900,25112100,63087000,4059200
94423,7973500,16956000,14744500,521200
709868,97339200,20572400,24061500,3430000
488751,44875100,15343700,22180200,2370100
839192,81931100,27305000,31790800,3795100
256181,23301800,12117700,17574700,1419400
90696,8178000,11542600,15541400,524600
609487,84534500,18401400,23892400,2866700
192654,17123800,9322800,16541100,1047000
268838,24082700,11546000,25050600,1404400
426854,38556800,13095300,20924100,2159600
524586,49455400,17352600,21359700,2357700
253114,22940900,9649400,16344000,1293800
421831,65431400,13580100,19241500,2028800
696311,67327100,19554000,24567300,3439500
61032,4914400,8675200,15865200,351600
574919,54287400,18696200,22165200,2744900
606997,57428100,41804800,22527000,3100500
25553,1929200,7822500,14634500,221200
225166,19931400,36597300,18378700,1193800
296243,26636600,10646900,18435000,1519300
829145,79916500,38872600,37813500,3888300
84236,7240300,7096700,14193900,442800
220416,19689700,33798700,19742400,1129900
351294,31866100,12299500,18172200,1693300
394926,35899400,13824800,19244800,1969100
222349,49139600,10482800,31690700,1145100
248599,22080100,20252500,36548800,1244400
65278,5626400,15499500,45038400,26490200
620912,58590100,18046800,22329400,2950500
758495,73389600,21877400,25995200,3594200
688795,66553900,30570300,60134800,3458800
767695,74028900,22103100,28234300,3927800
396419,35467900,12952500,19479200,1899900
98684,8459500,8781500,14634600,583700
696733,66757500,45448500,24412300,3808700
518632,48619400,48454000,49091300,2536700
335805,30142500,11005700,19482000,1545000
644140,61780100,19804300,23400600,3142700
42484,3516200,8320300,13988700,308000
622602,59856400,20675100,32595600,3147800
531889,50286400,17153800,50296300,2709700
357381,32745500,14152700,18052900,1843500
736978,71651400,22335200,24915600,3642900
720273,68702100,23646700,28043400,3682900
379929,34044300,12192300,43342200,1887400
79632,6725600,10759500,13917800,456100
398530,63979200,12692600,19461800,2000700
90285,7498000,26715200,22885600,559600
44511,3734500,6274200,14694400,331400
489932,45886000,33217300,29334400,2253100
476160,43771500,15743800,21006500,2254500
179498,15837500,8359200,17203700,1115600
84808,7246400,7240500,15172100,563500
857356,83070100,54405300,28539900,4746700
426740,38379000,16656000,21221600,2279200
585450,56805700,18002100,22077700,2763400
335614,30041200,11129100,17206700,1733200
260347,23515400,9983000,15881200,1405100
659725,62478000,19709700,54627500,3181900
799093,76350300,22683800,27370000,3871100
232440,20286400,9284900,16224900,1184100
21312,1642800,6060100,13436800,360800
361654,32097300,13401600,45099300,1865000
37543,3229400,6442300,13432700,256800
97416,8258100,6818700,14749600,490900
451068,40722200,14126800,23806100,2144600
345784,31412200,40922500,19289600,1737200
677576,64607700,21367400,26036200,3285200
34560,2961200,9683900,13846600,314000
24048,2031600,6168200,14212900,235500
912876,87061600,25530300,29834900,4411100
246137,21800600,9635800,33395800,1553300
373762,33259800,13410000,73255200,2079300
704508,68605800,24750600,28226100,3534200
354203,31860900,12100200,17978300,1752100
231945,20159600,11538900,33798500,1195200
636003,61077700,18411800,48168100,3077900
710722,69045500,48657300,24943400,3776700
981940,94829400,26733500,29609400,4545200
554023,52428900,18680900,22503800,2780300
881276,85260800,54112100,27940000,4225100
942953,89939400,26486000,31793600,4576300
60777,5009200,7474500,14698800,353200
542002,51762600,16461100,21668400,2649700
240205,21176600,19142900,17428900,1216900
450750,40925200,41845900,20621000,2272600
141926,12621600,7714500,14542200,1013600
46445,3836300,33298000,21871000,301200
363917,32665800,12188400,18206400,1770500
423540,38382800,16039300,19797700,2167100
165998,14946400,8065700,15095900,1257800
33742,2748200,6126700,14319400,256200
947346,90018200,49301200,31329100,4464300
981132,94970700,27672000,29217800,4590500
130644,11559100,7451600,14311000,736300
274741,25202400,10995900,16739000,1494200
96857,8319100,8146600,14088300,500400
14544,1065000,6016500,14200800,226700
632084,60469500,43312700,24565700,3247500
650298,61686100,48003700,24204200,3700100
142323,12669700,8070300,15238600,769600
501177,46841800,16193500,20079100,2436500
999628,97530900,27342800,29246900,4682700
521823,49841100,16371800,57772200,2447700
893901,85816500,25225400,30501700,4184900
368688,33058100,12988900,19002600,2060400
6106,407800,5893600,14186400,131600
779876,75322800,25859200,26202500,3649000
648602,90750800,18438900,25018500,3147000
408690,37948900,14618300,18850500,2093000
107923,9092700,7529700,14037800,649900
674042,64640000,20491400,25332200,3456700
851743,82063800,24268600,55808700,4186200
838156,81615500,23926900,28256400,4036700
320028,28789400,10899200,18702300,1570700
713551,68597400,44707700,24789400,3224900
670106,64600900,48171200,24091500,3340700
446918,40994900,13429000,20743400,2100900
786345,75618900,22091800,47208800,3912200
510344,47395900,48125400,20515200,2394400
107344,9188600,8402700,15625500,591100
821852,80355700,52165100,29581800,3802600
2064,135800,8287300,13839100,63400
868365,84939600,24018300,28553300,4161600
229362,19918100,38946300,15623400,1253500
462823,42359100,15135500,19750500,2418000
852745,83042900,51771000,27616800,4029600
524093,49974200,15908600,45366700,2466500
430699,39337800,38229900,19081900,2040900
214299,19441200,8642400,16917000,1149800
131844,11485000,7721900,14541000,639700
353731,31683900,13126100,18012100,1715500
290057,26123100,41594600,18241800,1417900
152489,13519000,8439700,15668200,788700
713703,68548400,26099300,26977200,3318800
579008,56083200,20413900,21439300,2775100
570757,53962600,17593300,23811400,2715900
776901,103489100,23158200,25784600,3790200
736867,70980500,22203700,50182800,3594700
877800,86073800,24942200,28735900,4236900
137904,12284800,10687400,17430500,745600
684226,93692100,34720300,28904100,3251800
878770,86292800,24014200,28658900,4322600
346793,31705100,14509300,20192200,1774500
139260,12320400,8279500,14794800,761900
550424,52113000,20727300,52957500,3009500
108719,9421600,9942100,15203000,610700
740037,71004800,46140400,25314100,3447900
231141,20002900,9498200,17776300,1280300
911496,87333200,26160000,28705800,4504000
200273,17852900,8828900,28979500,1091100
342593,31451000,41322100,17803100,1611600
514298,48015500,15660400,22048000,2502400
701974,67206100,20049400,50487300,3172400
596997,57347100,17801500,23404700,2923100
234165,20439600,10129200,18057300,1161400
6668,453000,5866900,14298200,136000
838837,109746500,23785800,28468400,4050300
454952,41147300,54396300,20710200,2161400
191748,17036900,9258800,14920300,1084300
328370,29107100,12041800,26341300,1669100
221569,20098400,9310700,17696200,1132100
68254,6122100,6821400,13852300,399700
367398,32599000,11970800,45655900,1812900
759285,72642800,21159500,46345000,3650300
883174,84247200,50152600,28700500,6435800
622738,57824700,42417000,23411900,2983300
567073,80993400,16814100,22535900,2734600
829471,79816000,23117600,31735400,3864000
549470,51843500,16522200,22119700,2677900
334410,30319600,11273500,44958200,1697900
779927,103528900,21693000,26969700,3684500
725403,69289200,20855600,25187400,3404800
161495,14194000,8243900,15801100,863100
642597,61247000,21481100,48454900,2996200
976632,93383400,56889400,36449100,4970800
578825,55033500,17080900,43352800,2883700
804338,77400500,22562100,50263700,3985400
182580,16069100,9072300,16197900,918600
45591,3754900,6664100,13667300,296100
826785,108637300,23518700,26648700,3966100
580328,55564300,22008600,25058800,2865100
638579,60668500,20291200,74634400,3158300
507354,47054300,21436600,31563800,2481100
750849,100635700,21630500,47149500,3374700
450055,40870100,14611200,19927500,2150400
465379,43046200,18927300,21061000,2231500
560012,52662000,20253000,46099500,2640700
832148,108529500,23293100,27460700,3902000
732314,70424400,27009500,26029800,3418800
253253,22985200,25763000,22958300,1344000
980749,93908600,29138100,58022300,4840300
124129,11085100,8871200,15487700,696500
866727,84730800,24861500,28739300,4194600
930676,88610300,25648200,29971200,4617200
547817,52077200,44761200,48844400,2679400
685549,67484200,20256000,28622300,3264700
887186,84452100,25758700,28663700,4183000
60319,5128300,8123500,15334200,354300
694917,66520800,21420800,51406100,3355900
157582,14215300,8169400,35362600,1138300
339487,30566400,23760300,24630300,1652800
509475,47819700,15747900,21825500,2464700
480053,44531500,14863300,20873700,2360600
79438,6958000,7740900,14981700,494300
612373,57832100,17966500,24239200,2977800
531905,77414400,16122700,23129700,2791500
241003,21666200,10718500,17072600,1351800
36088,3068200,6144700,15896100,244100
769086,74319900,22064500,27034700,3795300
96001,8219100,7416600,15868100,548700
794443,75817600,24145200,54212400,3697900
491970,45145400,14875300,20782300,2339200
479882,44294200,14557700,21546600,2390100
655522,62923100,21451800,26127100,3115600
687066,66417900,20226000,48359000,3289700
647254,93438100,18647900,26122100,3187100
154259,13792800,9558500,14709500,776800
982460,94120600,31151600,32089900,4889700
991444,95327700,55495600,32302700,4884500
2175,144200,7117700,13860200,54900
432379,39127300,14884500,20518500,2020800
18868,1410800,6712000,14900500,194500
215644,19708800,9506100,15869200,1097800
411821,37420500,22219400,25347900,2070900
129457,11595900,8558400,39296400,761900
442652,39788000,21056000,19805700,2417600
475150,43743400,44071100,21258000,2349800
12132,888900,6238700,14359400,157600
124627,11083700,7162200,14513200,697000
528997,49691300,15761800,21225200,2620400
898736,85633700,27054600,55007100,4254400
445191,40436600,15327700,19800400,2081200
325037,29035200,40126100,19531300,1569200
280641,25719600,11648500,17607600,1416800
167688,14808400,10665100,15628900,957700
184509,16496700,9583500,16316000,1051800
24736,1845200,6083200,15180300,211200
587609,55742300,46938100,22447700,2919000
50183,4364100,7811600,39663000,24430100
802558,78022600,22119600,27962400,4066100
634078,89537100,18565800,46223700,3177400
548392,52381300,16362300,23993300,2639000
563491,54163900,41117500,22077200,2613900
746044,72181300,21500300,25582900,3669700
180690,16007700,37650000,36436000,955200
752307,72234200,22518000,26915400,3705200
737666,71128900,20728700,25634600,3517200
207152,18743000,12440100,24416300,1057100
592924,56179100,20839400,30609500,2856500
556325,80278100,16826200,22072600,2692200
3026,205100,6140000,13386300,95200
859391,84253700,24085600,27473600,4115400
599930,57242600,18092600,23315000,2938600
821002,79903800,50102500,53535500,4001600
192949,17281200,8465100,15648100,991800
825097,80879500,24295900,31273200,3948000
588098,56446300,17809100,24684200,2815000
816744,79318500,51491600,26536500,4123400
434330,39609200,15008100,20331800,2155600
739663,72283800,22544300,26622900,3490400
590476,57187600,19358200,25435000,3041500
671542,64649100,48120400,25478300,3161100
520167,49232500,20741200,22046100,2555100
905854,85628100,26793200,30842100,4248500
906732,86488300,54939700,29106600,4545400
307130,27476100,10683600,17926700,1741800
333970,30212200,36965100,19948700,1677000
18332,1490700,7683900,31407700,195100
962972,92565800,28029300,52728200,4477000
595906,56623500,18428800,52385800,2962100
50959,4244700,7696100,14255100,493800
716110,69814700,27082800,27461700,4171100
47353,3993000,7986700,15851300,324800
659390,63459100,19329900,23539600,3353000
714596,69441700,45081700,24666000,3402600
661571,92607300,28830700,32421800,3248600
614948,58665900,22779400,22589700,3023700
300280,26973600,10799700,17316000,1448000
286744,26055800,10746200,18648700,1344400
633793,60864100,19440100,24487800,3039400
397065,35856000,12314100,19911700,2042900
102386,8892100,7840200,14188300,577900
47753,3886700,8458100,14052100,311600
701194,67087100,21054300,24282700,3474200
201980,17980100,9956300,16837600,1039100
67803,5929000,7284900,15782800,361200
789853,76172700,25810000,48316000,4007200
93738,8054300,7208700,44643300,528500
798911,76473700,23926700,28775100,3919100
874541,84830400,28623400,58661800,4148600
483153,45006000,15108300,22581300,2442900
89504,7507300,8339800,14743800,470400
247328,22230100,37908800,17840200,1546400
3238,218500,14604300,31554800,82300
227181,19934900,9924800,15684100,1311200
287335,25848700,11671000,38530800,1517100
25343,2155800,14720500,23052600,251600
682272,66018900,22952500,27651200,3342200
498136,45872600,39240800,21825000,2434200
221856,19965100,9034100,17178000,1220000
962542,120726000,26650800,29725000,4779600
928847,88501400,71253500,28523200,4328800
63240,5399400,9586000,15284400,378300
199581,17823000,8421100,17183900,1060500
289393,25637300,11499100,17809500,1524800
209047,18626800,10333100,44628200,25679600
110289,9403000,7368100,14237800,597300
70668,6060700,23513300,22653100,416500
945380,89922600,26972500,28966000,4464900
357704,32168500,11936600,19299900,1750100
732767,71517200,27196000,49851900,3524400
837182,110741500,23631600,28438500,4139000
703868,67550300,20936700,23826900,3495100
143799,12845200,7882100,14974400,755900
83455,7230700,7026400,14829900,460800
355859,31995700,14190700,17442800,1709000
736485,70360100,51249500,25267000,3464500
774778,75275200,22420000,26404500,3921500
713239,68419200,20458700,25569600,3674000
856260,84088200,24669000,79941500,4332700
798027,77171400,24839500,26835900,3723500
551615,52431200,20306700,22235300,2774400
930934,88611000,25699200,59824600,4543100
381261,33973600,13348600,18365800,2104200
716789,68531600,46024900,49841500,3576600
728777,70048100,21183500,26160400,3589100
76166,6557400,7086600,13790700,415300
597685,56187500,17714200,51641400,2789100
717451,69718800,20171900,26725100,3399600
354633,31689500,36626300,40482700,1801900
969310,92953500,25968200,29905900,4706900
889595,112260100,24438700,70851300,4162700
635000,59988300,19321300,47464800,2912400
581397,55405500,17573200,22616800,2807000
740468,72181400,21671200,53491600,3447300
57375,4865500,7255400,15260600,362100
989610,95070500,27993700,31652900,4739600
937671,89125000,27564700,29995800,4875200
143664,12757600,7651100,15444000,805200
3530,234400,5972200,13734100,111800
612726,86741600,65046700,23031300,3102800
664053,64113200,19295300,23280800,3283300
805467,77350600,24282100,27591900,4003800
621786,58742100,49672700,41967000,3263800
788313,75420100,22019700,27156000,3712200
17992,1394800,7389600,13446700,200300
718006,69522000,20213300,24236400,3455900
848014,82131400,24791400,59544000,4200700
751130,72949600,22663400,25101500,3545400
96827,8388800,9541000,14259400,487400
6951,472800,5874300,14362300,124300
134155,13445700,13085900,15261700,662900
820747,79556800,23365300,27421100,3886500
620466,59470300,19066200,51835300,3101800
642510,62044700,23033300,24951200,3150100
791369,76255100,27639100,26988900,3962500
602158,60956000,19437500,24756100,28282900
418292,37812000,41141400,22284500,2182400
522423,49275400,17394700,46377800,2507800
121181,10492900,7635600,14528700,730000
807539,80262600,24782800,33506300,3671500
526151,49778800,17505100,22599800,2507000
679784,65623600,52162400,23374500,3278800
189411,16784200,10466000,17869000,910700
356127,31820900,12127900,42520300,1663400
761255,74421900,22140300,50282500,26877000
195673,17364200,9519300,17857000,978200
771911,74925400,51026200,26140900,3673500
512841,48180500,24371500,44296700,2518800
65378,5655900,6859800,13555200,389100
464515,42536600,15535000,19990800,2282200
813552,79239400,25211200,58396700,4346900
754623,101602300,47940900,27571200,3608000
495187,46122500,40139400,22653300,2468900
43665,3729800,8503700,13437900,296300
257034,23439400,9784700,19499000,1384700
414725,37612600,13334300,42104800,2038300
225465,20266400,32102500,24185400,1242200
68019,6017400,9445100,13606300,349700
248111,21935300,9506900,43758500,26191600
5437,365400,6080600,38011400,103500
669491,64622100,19437300,28094700,3174100
683026,66173400,21023300,24526500,3305500
595122,56851700,42260300,25135800,2955300
888802,85189500,57970100,81732200,4262000
831130,81988900,57283700,29227600,3813200
301854,27144400,15376400,18386000,1532300
440263,40335500,17013500,23601300,2138000
569774,54630700,48257900,21297500,2753000
88123,7744700,9164300,14858000,448400
768066,74219600,23416600,26691600,3552900
982290,95103400,27189100,32775300,4609800
707292,68559000,54174700,26724900,3500700
30767,2519500,13989100,23560500,244700
733497,70668500,20386200,25095300,3516600
200714,18335300,8769800,16520800,1066300
599112,57155700,18209700,24677500,2908400
158809,14562000,9604300,14969100,796400
204154,18776600,10306200,17665300,1082300
41738,3415700,29019100,24664600,540100
339442,31168900,45833300,20539200,1738700
100220,8716800,7067200,14280300,526100
19663,1463100,6334800,13376600,209500
501940,47125300,16640400,28408300,2529000
482977,44358400,20252900,26175100,2530200
924982,87525900,57945400,52357900,4486200
416004,65828000,13186300,19580900,2009100
146626,12858400,8587700,15088400,782700
2916,218500,5709600,13700200,74100
15517,1140100,5966300,13251600,178700
432570,39122800,14458300,19593000,2285500
62187,5661800,7136100,15905400,412100
57651,5845600,7005100,13669600,361800
17589,1349100,5915300,13464500,257500
29403,2361300,6187800,14089100,248900
961582,92239900,51077500,33268400,4794900
967797,123703000,26637800,28815600,4643800
400587,36110700,25480300,19900800,1901100
50087,4391100,8222100,14531700,320600
229821,20608600,9402200,16306200,1192400
545307,51770500,16996800,21739900,2802400
722480,69962300,51165200,25338600,29868900
574701,54514700,41411700,24155300,2789000
515849,48439200,19709500,47237100,2413900
547561,51940300,16344000,41827600,2673900
788181,75588400,70809800,27609400,3671700
895190,85538400,24477500,28566200,4187900
582118,55939200,17604800,23756600,2766400
432597,39042100,13453700,19183200,2079100
286208,26068900,11592100,45234700,1492100
986268,95016500,26784900,30392800,4814600
139612,12273000,8595200,14453400,727700
213512,19300700,9851400,16062400,1191100
767913,73202100,22871200,26703600,3972500
436696,39858800,65356600,20122300,2253800
696201,67208400,19798200,71358700,3430100
434625,39496400,14016100,21183300,2156600
169843,15250200,8090200,16076700,899600
277368,25472200,10755300,16842800,1443200
593206,56798700,17977100,50417800,3063400
63321,5385700,6654500,15780600,384000
499786,46633700,15970800,21497900,2586100
65935,5514900,8286700,14188800,346200
936436,89147000,25659400,59075400,4497900
44001,3611100,7527800,14542600,305100
420245,38224300,13502600,19856400,2108200
205126,18758500,8794900,15668500,966600
