Number of Elements,Standard Merge Sort Time (in ns),Parallel Merge Sort Time (in ns),Partially Parallel Merge Sort Time (in ns),Java Parallel Merge Sort Time (in ns)
810866,78389300,18397700,16350700,3653000
682341,65547400,17159300,12870900,3196000
653097,64176900,15219900,12241700,3065500
768190,73960900,19337400,14357600,3646400
380904,33900200,9105100,10055100,1996700
112169,9574300,3196400,2776700,554800
899437,84910900,21250300,18960200,4091100
483180,44540200,10956100,9360100,2258700
598847,59020600,14361300,11592100,2937800
774715,74153800,19871800,15519200,3807500
954135,90774400,24150900,19221500,4505600
595789,56997700,16201200,11398300,2937900
770382,74256900,22652300,14681900,3607500
487864,45064800,11579100,9349800,2330100
180172,15803500,4696200,4655000,995000
606369,56761200,14645400,11631000,2804900
227242,22340200,5681300,5010700,1232900
371639,33453000,8879400,7301700,1793200
491513,45528800,13884700,9454100,2352600
711165,68852700,18842000,13589200,3358500
228513,20065000,5715000,5064000,1185400
867071,84391900,22491000,17708600,4110800
401880,36719800,11953000,8728000,2012500
224264,20028900,5632200,5012700,1155500
844240,82407500,21628700,16238900,4023100
853144,84962500,23744500,19231200,4553400
896482,86148700,24257500,17717600,4494600
288352,26000700,7524400,6359900,1465500
955169,91225600,23271700,20705900,4446200
893246,85278700,21502900,19695200,4400700
727121,69911500,17551500,16250500,3573500
341274,31261300,8844200,7258600,1733100
821221,79866900,21574800,16456200,3945900
431538,38725900,10968500,10969300,2150700
749969,71916500,19333900,15984900,3658800
92133,7561100,2993500,2646100,460400
157322,14212200,4171600,3911400,847300
641964,61420800,16491800,15264900,3489200
498562,47216200,12858200,10298300,2469700
152015,13732700,4257900,3759100,737500
917369,86122100,22778700,21636300,4367500
909419,86646200,21845700,19523100,4542800
604524,58250500,14483300,12296800,2757600
108130,9669600,5334000,2892800,568200
945167,89719400,23254900,19551000,4377800
119084,10338200,3525900,3249900,589000
878912,85185700,22302500,16473400,3985100
543783,51716100,12752200,13283900,2566700
714997,68529200,17029200,15413100,3449400
946681,90139500,22316500,20004600,4367800
228423,20155500,5847200,5136900,1144700
422602,37763000,10485600,8495700,2013500
477598,43577100,11917500,9535400,2268400
438360,39317800,13344900,8676300,2083700
389994,34925400,9347300,7755700,1921700
625629,60281000,17173000,12068900,3127500
902620,85274000,22590100,17444500,4391500
979941,94122800,24957100,18936000,4575800
76252,6554300,2626200,2412800,400000
485367,48062000,11167500,9933500,2350000
755680,73051700,19875100,14709500,3740100
404666,37116500,9832700,8155100,1992600
400296,36506000,10157700,7942700,2092800
905845,85998000,28376200,17877700,4227900
436428,39172300,10479000,8803100,2106200
894346,87688100,21153700,16995000,4268800
722898,72115300,16850600,14623000,3458500
650912,63153300,18512300,12676100,3147700
340855,31082000,9064900,7087700,1727600
399245,36216900,9731600,10763100,1938500
20397,1545100,1431400,1775200,190500
284655,25872700,7121500,6061900,1608700
431420,39501600,10354100,8674900,2257700
64085,5629900,2203600,2210300,389600
360697,34743500,9286400,7418300,1758500
445027,40373500,10794000,9199400,2243500
380351,33834000,12039100,7507500,1947600
7488,536300,1258900,1424300,96600
98806,8615200,2921200,2698600,468400
262992,24178900,6461500,5755000,1310400
619774,58403400,16994800,12405000,2936800
624518,58655600,14786200,12628700,3039600
127561,11115100,4481800,3290300,660800
150652,15738400,4098000,3622800,786100
765711,73346000,19053000,14845900,3668300
28338,2174500,1680300,1644200,249900
349386,34588300,8580300,7138800,1751800
174688,15514600,4467900,4183500,868200
679227,65620300,15681500,15360000,3282000
605614,57098100,14571500,11669300,2869400
63720,5406100,2641600,2179100,392000
197067,17648800,4985100,6976800,1038800
797559,77185600,18373200,15528400,3605200
422902,41096300,10670900,8593800,2116700
32186,2539800,1612900,1715300,261500
57446,4900500,2083300,2138600,368900
874619,87644300,24040500,16901700,4021000
948399,90563700,24589700,17243000,4344600
731555,70866900,17002900,13777700,3352800
302226,27059900,7397900,6418700,1527700
785090,75072700,18410100,18845700,3827900
150353,13283900,4315700,3877800,764900
157216,14083900,4222100,3930000,823400
372974,33352500,9739100,8073100,1796700
420892,38324000,12906300,8353600,2109500
64702,5738600,2198400,2347400,388900
982001,94593200,25092100,19233600,4713500
880564,85727500,24345600,17771600,4338600
604979,57388800,15440100,12061000,2840400
354039,31741600,11957300,7256600,1845300
925089,87527200,21617200,21158700,4246400
481859,44195400,11808500,10293200,2471700
826264,79670600,21397400,16085800,3719900
530340,49867100,13492500,13033000,2605100
764212,72934500,17662100,14131600,3526000
196023,17394200,5922500,8175400,976100
264521,23688700,6728500,6027600,1300700
590352,56124300,14296900,12729200,2904600
463917,46101600,11589900,9681200,2255200
536500,50533000,12933000,11144400,2627600
848194,84803200,21062000,17025000,4122100
449400,41333200,14614100,9725800,2187700
677881,65535800,16612000,13145600,3219800
425602,38108400,10557800,8442000,2073200
649596,62294600,15836700,17043000,2844800
714744,69485500,17245800,14424400,3322500
816827,82879100,21595200,16587700,3854300
103250,8842900,3350500,2832800,534600
241350,21174200,6365600,5967300,1295800
247206,21941700,6300700,5592900,1269800
564149,53210600,14303900,11407400,2678400
667231,66667600,17437200,13546700,3121600
485183,44454300,12047800,13835000,2199500
741370,71849100,18600800,14145500,3581800
826767,83341100,19878500,15985800,3925700
58544,4755800,2273900,2255900,339400
626158,59000800,17636000,13368300,2987600
69482,6075700,2550200,2499100,382500
384327,34116800,9442800,7752400,2007300
367738,32868600,13765900,8928600,1977800
702078,68739100,16939400,13809900,3363900
433685,42620600,11224600,8971700,2046100
585014,54911800,14615000,12249500,2733600
212450,19231000,5433000,5077000,1087200
49241,4025100,1958900,2184300,308400
272085,24762400,6781600,6478100,1388700
455099,41916000,11023100,13127900,2122400
899871,86144000,23189800,17422000,4236700
365023,32458600,9220100,7427200,1868000
223863,20010100,5966400,5100100,1161800
305542,27210900,8074500,6423000,1466500
383614,34800100,9615900,8180400,1967700
12419,914800,1332300,1617600,141100
803207,77682700,19701200,19545500,3703100
565571,54441400,14182500,11647600,2686100
647807,62603000,18095000,12619500,3110500
513538,48265800,13068000,10254300,2519200
698628,67425300,16768500,14970000,3526300
468448,43105500,14160200,9699100,2235600
375005,33406300,9115100,7706600,1776100
561921,52788200,16403500,11093900,2645900
869938,83880400,20171800,18965300,4007200
831357,80168100,19669300,17110700,3834900
388395,38091300,9407000,7720200,1803200
604355,57610200,14417200,12408900,2816600
809615,81293600,19412100,15815700,3711400
363440,32398500,12018400,7568500,1722200
6682,455100,1152700,1619200,116900
264964,23954000,6486500,6222700,1308900
554717,51563500,13362000,10975700,2548100
944369,90754900,22404000,18093100,4427200
875607,87763600,20821800,17019400,4119400
430964,38703400,14101200,9174700,2081400
85470,7491100,2734400,2846600,448600
518057,48357400,13120100,10511500,2447700
105297,8720100,6262900,3115500,540400
797587,75856000,18889300,16218700,3917600
83806,7311300,2967400,2811200,468400
22802,1703800,1402700,1833700,209700
236248,24089100,6077700,5507600,1172400
501925,47180600,12033000,10791100,2395200
326570,29083400,11180800,7063100,1694600
522378,48881600,12369000,10308900,2471200
62945,5445500,2263300,2410300,357900
322579,28905400,7770500,10011800,1580900
810526,78755800,19264400,15792400,3659400
645050,65313400,15631900,13621700,3017700
250278,22478200,6483700,5945400,1331300
265630,24143100,9782500,6303800,1422000
338396,30680400,8484700,7464400,1689200
266205,24214200,6785000,5916100,1359200
783530,75699100,21404000,16088200,3603300
17920,1374100,1617800,1780800,180400
844761,82888300,23484900,16082100,3980300
184176,16651400,4954500,4634800,900000
648602,61787700,18223700,12751600,3093800
855201,83884600,20437700,18924400,4027800
975377,93966800,23037100,23811000,4409700
494965,45754600,13747200,10919500,2395300
514191,47959700,16659100,10744900,2424900
463538,42053700,11599700,9503600,2342100
871259,84708500,23274300,17729300,4102000
808867,78875600,22554500,16400800,3659200
972208,93587800,26349000,18482300,4519000
365290,32924600,8942900,7541200,1755900
281879,25810900,6925200,9644300,1342600
121517,10426400,3592300,3413000,581400
322549,29296800,7588600,7129200,1575200
609691,58279700,14562800,14932400,2759600
426051,38228700,10762400,9186100,2125400
291501,25891700,7383300,7128000,1425000
78854,6920300,2532000,2674800,410400
465392,43032100,11812500,9710200,2316900
261229,23739400,6579100,5915700,1380100
575661,54412400,16921500,12151700,2653900
259713,23730100,6575500,6463700,1287300
28421,2172200,1672000,1974000,240100
186883,16775200,4988400,5160800,978000
203474,18316300,8863700,5108000,1114100
499355,46894900,11869500,10219800,2488000
613731,57667600,17615200,12634800,2878500
725574,69580200,17493800,14988000,3388100
841446,85446500,19765200,16220000,3957500
733406,74636800,17463300,15109600,3514500
227927,19873800,5948100,5402600,1203600
196317,17538300,5218500,4800600,1011200
912000,86077200,21602200,19346000,4364100
529808,53929200,12407000,10459000,4734400
435501,39583400,10796500,9152300,18566300
902918,88787500,21170800,17928700,4206900
984210,98142200,23477900,19664600,4372700
403316,36713000,13244000,8655400,1906500
909134,86274500,22357600,20397800,4046700
564391,53982100,12983600,11350500,2546700
892175,85790500,23703200,17282500,4060200
969898,93045600,25510700,18224200,4418000
795571,77015600,22184000,15475200,3687500
904771,85631100,26590100,17525200,4103700
724023,69885500,17731200,19621500,3281100
223985,19974900,5766200,5446700,1138600
73093,6257800,2550700,2705800,374500
236040,20715400,5975700,5550800,1221700
735744,72152900,20974900,14261300,3340400
54349,4476800,2166600,2481900,335200
7379,506700,1182700,1890300,156400
795332,76990100,18577600,18611500,3612600
202018,18103700,5376300,5056400,1032900
876996,87082600,23925300,16822700,4103000
893487,84697900,20723800,21812800,3899500
156344,13751700,4443400,4283700,708400
291968,25933800,7438900,6681600,1471400
558914,52567100,16538400,11039300,2543800
275366,24811300,6932700,7818700,1375200
451717,41114100,11436000,13742200,2103700
318510,28491700,7809000,6862200,1451500
113884,9723200,3277700,3461600,583100
830553,80505600,22666700,17414000,3703300
481219,45025500,11415300,9619000,2306900
368419,32788500,13067300,8700700,1801400
985777,94269800,23112500,22187800,4339000
966012,92212800,22251700,21515800,4203900
390769,34702400,9635300,8877600,1840200
605564,57059500,17775300,12261600,2817100
616685,59203900,14297000,12143600,2752800
949483,93650700,22336100,18018900,4259200
747974,76307700,18019800,14623300,3597600
878826,85077600,24884300,17369700,3881800
930919,87815000,25570000,17876300,4313600
392740,34827200,9966600,8365900,1781100
953382,94228000,22777300,18389500,4129600
201722,18135200,5397300,5356500,997100
483818,44784500,11919500,9933200,2236400
631845,61304900,15032600,15726500,2881300
765680,74494300,18721700,15731700,3452900
56768,4556900,2313700,2456300,313100
684433,66119300,16873300,13516600,3041900
418979,37706000,14249700,9003800,2049500
310196,27607500,7468800,7303000,1515500
277471,24870600,6792400,6507300,1324100
395979,35576700,13799900,8755900,1855200
672932,65238500,16524800,13531100,2950200
116994,10086900,3586100,3555600,572200
127414,11241400,3607400,3663300,632200
624831,59429400,15518700,12223700,2912900
271354,24749900,7007500,10000000,1273100
251037,22697400,6312200,5849700,1359600
714410,69543500,16067900,18396600,3265100
460681,41818700,10973900,11100000,2123400
46236,3820500,1990600,2464900,276000
684175,65935800,19600400,14149100,3121100
293580,26101600,7294500,7059400,1425100
236129,20648300,5993000,5898400,1231900
400994,36129800,13821500,8429300,1933200
298582,26391500,7392100,6708300,1436400
73831,6074000,2412000,2748700,389500
451293,40574500,14726800,9286100,2080200
462749,41884900,11066300,9877300,2262400
241980,21233000,6272000,5666100,1171800
750889,76193600,16973800,14963300,3357900
784461,74757200,22244800,15242500,3518300
792784,75797500,22825700,15284100,3539100
89732,7633200,3011700,3176200,449400
691563,66481300,16087700,17338100,3131900
183876,16269700,4955000,4749800,942400
80015,7074800,2612400,3106300,403800
938560,89722700,25754200,18151400,4248400
362783,32168200,9071600,8245900,1756100
918262,86303100,25363100,17776600,4012200
336947,30639900,9139500,7652800,1574000
815616,78669800,19206500,16025700,3687000
504853,46899000,16340100,11070500,2288000
968189,92787700,26582800,18302500,4242200
520183,48985000,12460400,11075100,2397600
653285,72189500,18549400,12999600,3003200
922666,86773200,25079700,18363600,4305000
172662,15381400,4671200,4546200,906500
207667,18425700,5279200,5158800,1071400
269587,25011700,6745300,6342300,1280600
626637,59537900,18275300,12623000,2729500
481416,44257100,11819200,9912600,2125700
992306,95991200,27222500,19059500,4638500
700228,68574100,20642200,15079800,3551800
62383,5257700,2460400,2807300,362600
290820,26262400,7792600,6854700,1441200
973426,93871300,26886200,18472200,4440500
52346,4275100,2360300,2588100,321600
183815,16361700,4744100,4805000,841400
787816,75044700,19026700,19389400,3661300
559927,52868000,14142000,11754300,2557900
215245,19749200,5765700,5507300,1110700
191,10700,1113500,2001500,11800
591358,56658400,19073100,12199800,2671100
171340,15451600,4899100,4499600,797500
681506,65976700,16358500,17548900,3030400
78078,6750400,2907200,3084100,404000
272162,25169300,7029500,6386600,1371700
941015,89699200,21988800,22452300,4311800
941948,89136500,22439700,21428300,4165900
727763,74156000,17681400,14448600,3247500
51744,4240700,2361300,2570100,305400
70296,6086000,2481400,2938700,362300
832044,80142400,22672300,16945800,3867700
986619,94642700,23610400,23216600,4428400
472059,43404400,11328100,9995200,2318300
809534,78629300,23614200,15777300,3678100
891812,85511400,21457500,21657400,3914400
625359,59251300,15109400,12817900,2813200
158475,13961200,4362900,4387600,709500
123814,10823100,3604200,3895100,614300
284586,25888600,6933900,11399400,1353700
663501,63593700,17270100,13159900,3006000
300990,27065700,7558500,7105300,1423700
591281,59419200,14158600,12194700,2749400
726696,70549200,17175000,14689300,3234500
247489,26914200,6342800,6148200,1145100
895935,85195600,21852700,17483600,4159800
465792,48213300,11338900,9761000,2189900
371679,33416600,9060700,7940500,1797900
59023,4925000,2271800,2721800,315000
664627,63589300,19351700,14358700,2921100
704910,68423800,17466800,15114000,3135900
689724,70222900,16509000,14215900,3039600
299936,26628300,7777300,6849700,1468100
665568,64434800,19502800,13321800,2980000
223019,19921800,5927200,5957100,1153400
18819,1411500,1638700,2217300,178900
511847,47983900,12489100,10569400,2423900
30504,2379400,5872900,2558800,283500
598481,56902600,15724600,12016900,2624700
821416,80192000,23504200,17447100,3655900
354191,31799000,9099900,8015100,1695900
651636,63071000,15159300,17749800,2971800
123365,10836900,3760800,3789500,629900
12925,960000,1526400,2089200,656700
621059,58915100,14756900,12775600,2619800
399596,35754300,11005000,13055800,1795800
985675,94640800,24470000,19498300,4399600
942340,94411000,21922600,18423700,4229800
699609,68559100,21126900,14793900,3368000
947362,91095500,23690400,22633300,4212100
394854,35248700,10266200,8755600,1896000
968550,92777500,27338300,19165600,4375900
809755,79323100,20652300,17086300,3703600
586958,60297200,14559700,12973500,2595700
716075,68852400,16931000,18632500,3211700
143101,12485200,4162100,4168400,656200
140852,12350100,3949400,4215500,632400
544500,52013300,13086700,11267200,2583500
777185,75136000,22560800,16015300,3418600
124556,10927500,3666700,4011300,598300
225524,19996400,5627400,5587400,1136700
494306,45532600,11753000,15250600,2305800
503479,46377700,12334500,10390500,2390600
451854,41489500,10940900,9842900,2145300
279424,25445400,6982900,6860200,1333500
777877,74312400,17850300,16421800,3599000
548929,56059800,12740300,11529500,2469200
610219,57714900,14656100,12899800,2726300
217817,19324800,5662200,9995800,1031500
776763,74679100,18626000,15801800,3572000
51345,4254900,2243200,2757500,303400
81543,7107900,2758700,3080500,404300
212423,19054500,5459500,10085800,1037500
637588,60162100,14957900,12900800,2746100
206254,18381700,5451000,5317100,997700
183605,16236000,4747500,5061200,896500
351201,31674900,12820300,8258800,1683800
60210,5073700,2349400,2946200,333700
796468,76412100,18543800,15667400,3609200
813066,83531000,18507600,15732900,3650900
234556,20399800,6254000,5740000,1150500
678751,64743700,20058900,13634600,3200700
748999,72700700,17885400,19252600,3434900
70859,6154400,2915900,3153800,388500
854894,82313600,20385100,17073300,4010200
329437,29385600,13146200,7719300,1515400
830325,80913000,20593300,17012100,3697300
817160,82798500,19056200,17216500,3583200
524670,48509200,12683500,11314400,2447800
424968,43631800,10448800,9118700,2002100
103400,8800000,3369500,3706100,531900
18562,1391300,1800500,2661000,188000
925738,87521800,26989200,18400000,4002800
206616,18549000,5739900,5684800,1070500
8068,568300,1547600,2610200,142800
825415,79323200,19850100,20878300,3719600
921683,87481700,22827100,18347300,4077500
601923,61899700,14649300,12545100,2668000
547043,52216200,13143100,11470200,2387800
136223,12165100,4022600,4204500,649600
884361,90643200,20881600,19157200,3762600
223295,19958500,6029900,5652100,1074200
682090,70869900,16803800,14453000,3055500
616287,58556300,14789300,13916400,2761100
153199,18182900,4307600,4534500,807800
983461,94463700,22950100,20340900,4447400
56200,4819700,2604900,2943100,326300
22298,1666800,1648800,7075600,189100
269835,24137900,6842900,7214000,1348100
680049,65538700,16109600,13530500,3053100
585355,55559800,19629500,12904200,2708900
960183,91849000,22649000,24027600,4340300
63084,5334500,2672700,3041900,433800
326694,29196700,7785200,7024800,1517000
208030,18650600,5617000,5694100,1044000
644126,60970000,19701800,13938800,3105900
822136,79096900,19450200,16685900,3804500
180878,16013800,5118100,9592000,809900
931043,87693400,22890700,18168100,3977300
931468,92607000,21641300,18370200,4106200
531665,49431400,13534800,16152300,2428400
16479,1256900,1870800,2664400,182800
446057,40302300,10961800,10216300,2064200
288775,26004700,7591600,9158700,1476600
512100,47363200,17667900,10919800,2431100
739642,70742900,17666000,15285700,3392500
240522,21043500,6284700,11385400,1234500
498667,46295000,12007300,10389300,2238600
933390,88960900,26776600,18622300,4361700
791500,76965600,19530800,16117900,3686400
579940,59847600,14159100,11919200,2774100
31138,2552700,1848600,2626600,261800
211370,18927200,5539800,6081100,1082100
37271,2974600,3241100,3757200,278900
100146,8653400,3182100,3680400,494500
449202,40743800,15839600,9497000,2098600
78523,7026500,2807100,3257100,412800
191051,16910600,6027200,5209900,935400
713606,68577000,17213600,14427800,3187000
255728,23073400,6723600,6520400,1356300
544499,51624800,13159000,11459300,2493400
818510,79687400,24527400,16571500,3675500
901605,84994000,22090400,23391900,4137700
762642,72897600,17690400,16036000,3622000
305502,27683100,7736000,13169200,1514100
229659,19811300,6003500,6278600,1152000
208703,18713400,5472100,5473700,1051100
802466,77144100,19375300,22891500,3606200
41838,3707700,2320200,2754200,292600
737798,71701000,18262300,15118500,3388900
502729,47143600,17349400,11029700,2324000
719887,70194100,17056000,15579400,3202100
623971,58964900,19267300,13338000,2870800
40030,3354100,2167400,2869300,259400
381881,34213200,9199300,8611000,1847500
771230,73541700,22934100,15636900,3340300
760535,73200300,17962600,19557800,3481500
817131,80081300,19961500,19199600,3621300
99805,8750800,3272700,3731100,508300
49469,4113600,2251500,2953600,289500
770403,78653500,18223700,15114100,3417400
914646,86243700,26758200,18735300,4050500
743513,73139200,17305300,15554800,3384600
173368,15835900,5318600,10408600,829400
718961,69832900,17094600,14437000,3417400
540904,52275900,12878100,16594700,2479100
318587,28655000,8361600,7718600,1584700
803333,77692100,18803900,21056600,3672200
585696,56105500,14420400,12227800,2629300
605099,57638500,15344400,17307900,2796800
961852,92313200,24288100,18907000,4364300
947769,95421600,23015700,19491800,4454600
231309,20324700,6273400,5871500,1168700
